Entity,Year,Access to electricity (% of population),Access to clean fuels for cooking,Renewable-electricity-generating-capacity-per-capita,Financial flows to developing countries (US $),Renewable energy share in the total final energy consumption (%),Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh),Low-carbon electricity (% electricity),Primary energy consumption per capita (kWh/person),Energy intensity level of primary energy (MJ/$2017 PPP GDP),Value_co2_emissions_kt_by_country,Renewables (% equivalent primary energy),gdp_growth,gdp_per_capita,Density\n(P/Km2),Land Area(Km2),Latitude,Longitude,Waste Type,Total Recycled ('000 tonnes),Total Generated ('000 tonnes)
Singapore,2003,100,100,37.03,94224000,0.58,34.21,0,0,0,107484.375,4.41,38159.99985,0.3383669,4.535779654,23730.15245,"8,358",716,1.352083,103.819836,Food waste,32900,548000
Singapore,2003,100,100,37.03,94224000,0.58,34.21,0,0,0,107484.375,4.41,38159.99985,0.3383669,4.535779654,23730.15245,"8,358",716,1.352083,103.819836,Paper/Cardboard,466200,1084700
Singapore,2003,100,100,37.03,94224000,0.58,34.21,0,0,0,107484.375,4.41,38159.99985,0.3383669,4.535779654,23730.15245,"8,358",716,1.352083,103.819836,Plastics,39100,579900
Singapore,2003,100,100,37.03,94224000,0.58,34.21,0,0,0,107484.375,4.41,38159.99985,0.3383669,4.535779654,23730.15245,"8,358",716,1.352083,103.819836,Construction Debris,398300,422900
Singapore,2003,100,100,37.03,94224000,0.58,34.21,0,0,0,107484.375,4.41,38159.99985,0.3383669,4.535779654,23730.15245,"8,358",716,1.352083,103.819836,Wood/Timber,40800,213400
Singapore,2003,100,100,37.03,94224000,0.58,34.21,0,0,0,107484.375,4.41,38159.99985,0.3383669,4.535779654,23730.15245,"8,358",716,1.352083,103.819836,Horticultural Waste,119300,304600
Singapore,2003,100,100,37.03,94224000,0.58,34.21,0,0,0,107484.375,4.41,38159.99985,0.3383669,4.535779654,23730.15245,"8,358",716,1.352083,103.819836,Ferrous Metals,799000,856700
Singapore,2003,100,100,37.03,94224000,0.58,34.21,0,0,0,107484.375,4.41,38159.99985,0.3383669,4.535779654,23730.15245,"8,358",716,1.352083,103.819836,Non-ferrous Metals,75800,93900
Singapore,2003,100,100,37.03,94224000,0.58,34.21,0,0,0,107484.375,4.41,38159.99985,0.3383669,4.535779654,23730.15245,"8,358",716,1.352083,103.819836,Used Slag,238500,260300
Singapore,2003,100,100,37.03,94224000,0.58,34.21,0,0,0,107484.375,4.41,38159.99985,0.3383669,4.535779654,23730.15245,"8,358",716,1.352083,103.819836,Sludge,0,88500
